50.783s NetworkManager.service
22.159s dev-mmcblk0p2.device
 7.336s systemd-rfkill.service
 7.279s cloud-init-local.service
 6.791s cloud-init-network.service
 6.055s NetworkManager-wait-online.service
 5.774s rpi-resize-swap-file.service
 4.759s polkit.service
 4.095s avahi-daemon.service
 3.622s sys-kernel-debug.mount
 3.591s sys-kernel-tracing.mount
 3.576s run-lock.mount
 3.499s keyboard-setup.service
 3.419s systemd-logind.service
 3.408s kmod-static-nodes.service
 3.383s user@1000.service
 3.368s e2scrub_reap.service
 3.345s modprobe@configfs.service
 3.315s dev-mqueue.mount
 3.304s modprobe@drm.service
 3.278s ssh.service
 3.228s modprobe@efi_pstore.service
 3.103s systemd-udev-trigger.service
 3.091s modprobe@fuse.service
 3.086s ModemManager.service
 3.020s systemd-timesyncd.service
 3.017s systemd-udevd.service
 2.477s dbus.service
 2.314s rpi-eeprom-update.service
 2.174s sshswitch.service
 2.097s bluetooth.service
 2.018s systemd-modules-load.service
 1.963s systemd-sysctl.service
 1.926s systemd-tmpfiles-setup-dev-early.service
 1.891s systemd-remount-fs.service
 1.884s systemd-random-seed.service
 1.866s systemd-tmpfiles-setup.service
 1.830s systemd-binfmt.service
 1.746s systemd-udev-load-credentials.service
 1.679s systemd-journal-flush.service
 1.635s wpa_supplicant.service
 1.634s systemd-fsck@dev-disk-by\x2dpartuuid-d42e7bbb\x2d01.service
 1.611s sys-kernel-config.mount
 1.534s sys-fs-fuse-connections.mount
 1.355s systemd-user-sessions.service
 1.307s rpi-setup-loop@var-swap.service
 1.288s alsa-restore.service
 1.069s systemd-tmpfiles-setup-dev.service
 1.044s systemd-zram-setup@zram0.service
  946ms systemd-hostnamed.service
  843ms console-setup.service
  695ms boot-metrics.service
  545ms proc-sys-fs-binfmt_misc.mount
  469ms systemd-journald.service
  424ms boot-firmware.mount
  406ms user-runtime-dir@1000.service
  405ms systemd-tmpfiles-clean.service
  375ms dev-zram0.swap
  346ms tmp.mount
